,accuracy,f1_score,SPD,DI,EOD,AOD
mean,0.8503101648070427,0.6543436313219511,-0.17473392428637857,0.3061971565529727,-0.09693936033978068,-0.08604126833495819
std,0.0027093964581979065,0.005679949791286002,0.0070622465650376715,0.02064980099587492,0.02499487853391702,0.013351742888036292
