,accuracy,f1_score,SPD,DI,EOD,AOD
mean,0.6730699930699932,0.5970666277867719,-0.1797210033266976,0.5753752425645475,-0.20897608556091554,-0.1598772021307734
std,0.010988814770846721,0.012907227013798789,0.024341969045540132,0.04881964917841465,0.03834759371496,0.02362299735046532
