,accuracy,f1_score,SPD,DI,EOD,AOD
mean,0.8506049749206674,0.6560322234880295,-0.08489130966361186,0.5904577532109986,-0.04756529615186821,-0.038272340372368825
std,0.002978863287885384,0.005996096831949835,0.005641793107635809,0.02565863060002828,0.022491126524103157,0.010729364779146247
