Dataset,Sensitive Attribute,Mitigation,accuracy,f1_score,SPD,DI,EOD,AOD,Pipeline
compas,sex,reweighing,0.6472626472626473,0.5638389031705227,0.0154003300070715,1.0433532404335324,0.0099927228838678,0.0391493669064148,preprocessing
compas,sex,reweighing,0.6618156618156619,0.5821917808219179,-0.0527389862862309,0.8570431644880174,0.0065331455054,-0.002112161244455,preprocessing
compas,sex,reweighing,0.6645876645876646,0.576923076923077,0.0336611899705673,1.1002107364685003,0.0349414103974826,0.0677439292424571,preprocessing
compas,sex,reweighing,0.6611226611226612,0.5780845556514236,0.0386777090498122,1.112068661971831,0.0943396226415094,0.0723182538164156,preprocessing
compas,sex,reweighing,0.6576576576576577,0.5827702702702703,-0.0403172950882874,0.8931818181818182,-0.0557001561686621,-0.0085927126993657,preprocessing
compas,sex,reweighing,0.6548856548856549,0.5699481865284973,-0.0124861857638016,0.9647678951098512,-0.0323815657649921,0.0056768405713798,preprocessing
compas,sex,reweighing,0.6576576576576577,0.5869565217391305,0.0655781649811136,1.1794119607973863,0.1269858308286818,0.104626956507758,preprocessing
compas,sex,reweighing,0.6756756756756757,0.6013628620102215,-0.0087357033193292,0.9760600130463144,-0.0524344569288389,0.0031679932830388,preprocessing
compas,sex,reweighing,0.6756756756756757,0.6093489148580968,-0.0309001219377009,0.9198936705223076,-0.0136363636363635,0.0028946637043556,preprocessing
compas,sex,reweighing,0.6742896742896742,0.5934256055363322,0.0312821825671579,1.0909014058312834,-0.0123068866195338,0.048297590028861,preprocessing
compas,sex,reweighing,0.6652806652806653,0.5944584382871536,0.0192534638751694,1.0518601365669886,0.0335102323352443,0.0453696589554599,preprocessing
compas,sex,reweighing,0.6812196812196812,0.6095076400679118,-0.0229490341800941,0.9379954993941492,0.0276998597475456,0.0217279832021338,preprocessing
compas,race,disparate_impact,0.6687179487179488,0.5720059696631993,-0.12521217293024245,0.662995843907237,-0.13726987462002585,-0.1038792020660792,preprocessing
compas,race,disparate_impact,0.010764734691059962,0.02128035386070953,0.034144710602897844,0.07118965883437826,0.04825834093149778,0.035473924781627475,preprocessing
compas,sex,disparate_impact,0.6742896742896742,0.5825932504440497,-0.23671069587628868,0.37312477781727693,-0.24587912087912084,-0.2100629786637358,preprocessing
compas,sex,disparate_impact,0.6534996534996536,0.5265151515151515,-0.18055277258889152,0.42524845167794906,-0.23828962559788885,-0.16445201774958534,preprocessing
compas,sex,disparate_impact,0.6451836451836452,0.5232774674115456,-0.14173220757190225,0.5567578972751386,-0.10825674390857737,-0.11524734805958609,preprocessing
compas,sex,disparate_impact,0.6805266805266805,0.5994787141615986,-0.21902658932629349,0.43817020574579907,-0.1775117126496616,-0.16519246111750163,preprocessing
compas,sex,disparate_impact,0.6735966735966736,0.5602240896358543,-0.1566719593521753,0.5116988004275704,-0.121384542437174,-0.12130666614679883,preprocessing
compas,sex,disparate_impact,0.6971586971586972,0.624892703862661,-0.2291597383882053,0.42881812530220353,-0.22686820717746758,-0.18864977735890615,preprocessing
compas,sex,disparate_impact,0.6763686763686764,0.5663881151346333,-0.19385519212448393,0.41594910065059326,-0.2222222222222222,-0.16683414025151488,preprocessing
compas,sex,disparate_impact,0.6638946638946639,0.5562671546203111,-0.15585473566865324,0.538002033553635,-0.19811504943114255,-0.1396257169143472,preprocessing
compas,sex,disparate_impact,0.6722106722106722,0.578806767586821,-0.2438933966700023,0.3518603067804077,-0.2823304569409857,-0.21693584272449007,preprocessing
compas,sex,disparate_impact,0.6846846846846847,0.629780309194467,-0.27281041600508094,0.3963234674087191,-0.24946407790776015,-0.2279034180027372,preprocessing
compas,sex,disparate_impact,0.6645876645876646,0.5877342419080068,-0.25464669851411154,0.3874569962213073,-0.2996819432771378,-0.24064378102690462,preprocessing
compas,sex,disparate_impact,0.665973665973666,0.5801393728222997,-0.23685110479218258,0.39154661482270825,-0.3028689736764271,-0.22442578072136732,preprocessing
compas,sex,disparate_impact,0.6562716562716563,0.5407407407407407,-0.1872390348446218,0.4397268983055533,-0.1482024669073405,-0.1516968618689708,preprocessing
compas,sex,disparate_impact,0.6507276507276507,0.5571177504393673,-0.1644928105602263,0.5563678745496927,-0.18727037148790399,-0.14500130596253122,preprocessing
compas,sex,disparate_impact,0.6673596673596673,0.5652173913043478,-0.21554603908173003,0.39325862556561086,-0.2224127722994631,-0.18215677733038588,preprocessing
compas,sex,disparate_impact,0.6715176715176715,0.5871080139372823,-0.19377072389255245,0.49298108793137063,-0.20349028011042258,-0.16267410180384517,preprocessing
compas,sex,disparate_impact,0.6666666666666666,0.5607305936073059,-0.1559868269148975,0.5399777801670071,-0.13599472807991125,-0.12948452947340772,preprocessing
compas,sex,disparate_impact,0.668052668052668,0.5937234944868532,-0.2354267869535045,0.4253246753246754,-0.29463820926600726,-0.2137167535329727,preprocessing
compas,sex,disparate_impact,0.6604296604296604,0.5632798573975044,-0.18108265936605214,0.49870497844527883,-0.19289394589952763,-0.1617476999821498,preprocessing
compas,sex,disparate_impact,0.647955647955648,0.5567190226876091,-0.1858261240404533,0.5112056601203496,-0.1518534421067697,-0.15610492493162126,preprocessing
compas,sex,disparate_impact,0.6742896742896742,0.5989761092150171,-0.25601918522309364,0.380928398756763,-0.31102285935683843,-0.24661850938963184,preprocessing
compas,sex,disparate_impact,0.6694386694386695,0.5848563968668408,-0.19319735432139826,0.49578089589661983,-0.19727272727272727,-0.16643520992319055,preprocessing
compas,sex,disparate_impact,0.6756756756756757,0.6231884057971014,-0.2749096706250618,0.412084562071497,-0.31778606965174133,-0.2580573630233963,preprocessing
compas,sex,disparate_impact,0.6694386694386695,0.5862966175195143,-0.2365644102826672,0.3988178356077436,-0.22566159635079247,-0.21191693796216218,preprocessing
compas,sex,disparate_impact,0.6715176715176715,0.5675182481751825,-0.17984111221449853,0.47431059506531204,-0.16483559295621003,-0.1469292639403463,preprocessing
