Mitigation,Sensitive Attribute,accuracy,f1_score,SPD,DI,EOD,AOD
Baseline,sex,0.6625086625086625,0.581255374032674,-0.24715172467981456,0.388986013986014,-0.3179567277826094,-0.23493464804431016
Baseline,sex,0.6784476784476784,0.6061120543293718,-0.30139209825689456,0.2870098039215686,-0.34215307976562337,-0.272925757521503
Baseline,sex,0.6756756756756757,0.5951557093425606,-0.22302634030028687,0.4329591740077674,-0.22860562537402757,-0.19025909684001924
Baseline,sex,0.6638946638946639,0.5822566752799311,-0.2567718650123346,0.36546142526802605,-0.283157602663707,-0.2387652451064036
Baseline,sex,0.6722106722106722,0.6061615320566195,-0.29581116508597427,0.32147594623275555,-0.38709005726184276,-0.2808878488591164
Baseline,sex,0.6729036729036729,0.6,-0.2623260662078666,0.3705249517839923,-0.2971232288535853,-0.2448886845806969
Baseline,sex,0.6534996534996536,0.5769881556683588,-0.2300475204094066,0.44405182567726736,-0.22688564476885648,-0.20505893475939663
Baseline,sex,0.674982674982675,0.6008510638297873,-0.31014722159408736,0.2729542728008258,-0.41970166602092207,-0.3090708492179165
Baseline,sex,0.6729036729036729,0.6099173553719007,-0.2811495399623102,0.36454744754149704,-0.33999999999999997,-0.2642077775553655
Baseline,sex,0.683991683991684,0.6062176165803108,-0.23493783128043708,0.4141943158902639,-0.29317229641267345,-0.22014203320660147
Baseline,sex,0.6625086625086625,0.5904121110176619,-0.30340049827352594,0.296279399837794,-0.3532596155552794,-0.2904768584160256
Baseline,sex,0.683991683991684,0.6109215017064847,-0.2905820546497101,0.29998842458617897,-0.3376967430263363,-0.26783681081952654
